Artist,Album,onboard
Bernz,See You On The Other Side,1
Vince Staples,Prima Donna,1
Felly,Young Fel,1
Meek Mill,DC4,1
MO3,Shottaz Reloaded,1
Tedashii,This Time Around,1
Pusha T,King Push,1
Rae Sremmurd,Sremmlife 2,1
Datin,The Roar,1
Cartel de Santa,Viejo Marihuano,1
The Lacs,Welcome To Dodge City,1
DJ Quik  Problem,Rosecrans,1
Desiigner,New English,1
Montana Of 300,Fire In The Church,1
Machine Gun Kelly,General Admission,1
Elzhi,Lead Poison,1
Various,Hamilton Original Broadway Cast Recording,1
Kevin Gates,Murder For Hire 2,1
Rittz,Top Of The Line,1
Token,Eraser Shavings,1
Chinx,Legends Never Die,1
Fetty Wap,Fetty Wap,1
Kanye West,The Life Of Pablo,1
Atmosphere,Fishing Blues,1
I LOVE MAKONNEN,Drink More Water 6,1
M.I.A.,AIM,1
The Game,The Documentary 2,1
Bas,Too High To Riot,1
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,1
"Royce Da 5'9""",Layers,1
Berner,Prohibition Pt 3,1
Mista Cain,The Godfather,1
Webbie,Savage Life V,1
Astronautalis,Cut The Body Loose,1
G-Eazy,When It's Dark Out,1
Smoke DZA,Don't Smoke Rock,1
Kid Ink,Summer In The Winter,1
Pouya,Underground Underdog,1
Various Artists,The Hamilton Mixtape,1
Dizzy Wright,The 702 EP,1
Z - Ro,Drankin & Drivin,1
Dave East,Kairi Chanel,1
Z - Ro,Legendary,1
Lightshow,Life Sentence 3,1
Lil Uzi Vert,The Perfect LUV Tape,1
Rick Ross,Black Market,1
Jeezy,Trap Or Die 3,1
La Coka Nostra,To Thine Own Self Be True,1
Dream Junkies,Good Religion,1
Ruslan,Americana,1
337 Mafia,Ambition,1
RiFF RaFF,Peach Panther,1
The Game,The Documentary 2.5,1
Various,Mud Digger 7,1
Mozzy,Mandatory Check,1
The Game,Block Wars,1
Big Smo,We The People,1
The Game,1992,1
Danny Brown,Atrocity Exhibition,1
Vinnie Paz,Cornerstone Of The Corner,1
Mac Miller,Divine Feminine,1
2 Chainz,ColleGrove,1
J. Cole,2014 Forest Hills Drive,1
A Boogie Wit da Hoodie,TBA,1
KSI,Keep Up,1
Statik Kxng,Statik Kxng,1
DJ Khaled,Major Key,1
FUTURISTIC,Coast 2 Coast,1
YG,Red Friday,1
Lenny Cooper,Dirtified,1
Boosie BadAzz And C-Murder,Penitentiary Chances,1
Square Bizzy,The Cure,1
Gucci Mane,Everybody Looking,1
