"","source","target","weight","type"
"2231","Wrekonize","Tech N9ne","2","undirected"
"2232","Rich Homie Quan","Skeme","1","undirected"
"2233","Mistah F.A.B.","Netta B","1","undirected"
"2234","Krizz Kaliko","Tech N9ne Collabos","4","undirected"
"2235","YG","DJ Khaled","1","undirected"
"2236","Marsha Ambrosius","Dame D.O.L.L.A","1","undirected"
"2237","Homie Quan","Lil Dicky","1","undirected"
"2238","Big Scoob","Txx Will","1","undirected"
"2239","Eric Bellinger","The Game","2","undirected"
"2240","Payso","Micah","1","undirected"
"2241","Fetty Wap","Ty Dolla $ign","1","undirected"
"2242","Icewear Vezzo","Philthy Rich","1","undirected"
"2243","Doe B","Mista Cain","1","undirected"
"2244","DJ Mustard","TeeCee4800","1","undirected"
"2245","Chris Durso","Aha Gazelle","1","undirected"
"2246","Ghostface Killah","Big Noyd","1","undirected"
"2247","Travis Scott","Wiz Khalifa","1","undirected"
"2248","YFN Lucci","Trouble","1","undirected"
"2249","Omen","Donnie Trumpet","1","undirected"
"2250","Future","JAY Z","1","undirected"
"2251","PeeWee Roscoe","Duke","1","undirected"
"2252","Lil Uzi Vert","Post Malone","1","undirected"
"2253","Beleaf","Murs","1","undirected"
"2254","Young Thug","Dolly","1","undirected"
"2255","Gizzle","Diddy","3","undirected"
"2256","DJ Drama","The WDNG Crshrs","1","undirected"
"2257","Mobb Deep","Raekwon","2","undirected"
"2258","Travis Scott","Kanye West","1","undirected"
"2259","A$AP Nast","A$AP Rocky","1","undirected"
"2260","Mick Jenkins","Xavier Omär","1","undirected"
"2261","A$AP Rocky","Yung Lord","1","undirected"
"2262","Wiz Khalifa","Courtney Noelle","1","undirected"
"2263","Todd Nielson","Big Smo","1","undirected"
"2264","7deucedeuce","Strange Figures","1","undirected"
"2265","Jay'ton","Trae Tha Truth","1","undirected"
"2266","J3","The Game","1","undirected"
"2267","Apathy","Sick Jacken","1","undirected"
"2268","Yak Gotti","PeeWee Roscoe","1","undirected"
"2269","De La Ghetto","Randy Nota Loca","1","undirected"
"2270","Sauce Twinz","Mozzy","1","undirected"
"2271","Krizz Kaliko","¡MAYDAY!","1","undirected"
"2272","YG","Nipsey Hussle","1","undirected"
"2273","Isaiah Rashad","SiR","1","undirected"
"2274","Cozz","Bas","2","undirected"
"2275","DJ Drama","Lyquin","1","undirected"
"2276","T-Pain","Lil Dicky","1","undirected"
"2277","Gucci Mane","Dreezy","1","undirected"
"2278","Demun Jones","Bubba Sparxxx","1","undirected"
"2279","Kool Moe Dee","Grandmaster Melle Mel","1","undirected"
"2280","Wiz Khalifa","Meghan Trainor","1","undirected"
"2281","Swizz Beatz","Jadakiss","1","undirected"
"2282","DJ Luian","Genio","2","undirected"
"2283","Young Thug","Yak Gotti","1","undirected"
"2284","E-40","Salsalino","1","undirected"
"2285","Ceo Lil Kenny","Don Trip","1","undirected"
"2286","Busta Rhymes","The Roots","1","undirected"
"2287","YG","Bricc Baby","1","undirected"
"2288","Baby Treeze","Salsalino","1","undirected"
"2289","K'NAAN","Snow Tha Product","1","undirected"
"2290","Pimp C","dvsn","1","undirected"
"2291","Asia","The Game","1","undirected"
"2292","Common","Elena","1","undirected"
"2293","Fleurie","NF","1","undirected"
"2294","Skizzy Mars","Pell","2","undirected"
"2295","Blaze Ya Dead Homie","Abk","1","undirected"
"2296","Dame D.O.L.L.A","Adrian Marcel","1","undirected"
"2297","Noname","Mick Jenkins","1","undirected"
"2298","Kid Ink","Tyga","1","undirected"
"2299","Pusha T","Meek Mill","1","undirected"
"2300","Boogie Man","Young Boss","1","undirected"
"2301","Isaiah Rashad","Kari Faux","1","undirected"
"2302","Fabolous","DJ Khaled","1","undirected"
"2303","Farruko","Tempo","1","undirected"
"2304","Diddy","Tish Hyman","1","undirected"
"2305","June","E MOZZY","1","undirected"
"2306","Meek Mill","Future","1","undirected"
"2307","Wiz Khalifa","Trae Tha Truth","1","undirected"
"2308","Tiggs Da Author","Nick Brewer","1","undirected"
"2309","Miguel","Justine Skye","1","undirected"
"2310","Philthy Rich","Hitman Beatz","1","undirected"
"2311","Bakarii","Txx Will","1","undirected"
"2312","Fergie","will.i.am","2","undirected"
"2313","E-40","Ricco Barrino","1","undirected"
"2314","A$AP Nast","Onyx","1","undirected"
"2315","Fabolous","Fat Joe","1","undirected"
"2316","Tech N9ne Collabos","Brotha Lynch Hung","1","undirected"
"2317","Franky Bells","Datin","1","undirected"
"2318","Lil Uzi Vert","Skeme","1","undirected"
"2319","Ghostface Killah","Vinnie Paz","1","undirected"
"2320","Snoop Dogg","Fergie","2","undirected"
"2321","Redneck Souljers","The Lacs","1","undirected"
"2322","Bilal","Anna Wise","2","undirected"
"2323","G-Eazy","Mistah F.A.B.","1","undirected"
"2324","Pouya","Ramirez","1","undirected"
"2325","The Lonely Island","Chris Redd","3","undirected"
"2326","Snoop Dogg","Wiz Khalifa","4","undirected"
"2327","Demun Jones","The Lacs","2","undirected"
"2328","Tm88","Wiz Khalifa","16","undirected"
"2329","Moccasin Creek","Demun Jones","1","undirected"
"2330","A$Ap Ant","A$AP Mob","3","undirected"
"2331","Lil Lonnie","Kirko Bangz","1","undirected"
"2332","J Balvin","Nicky Jam","1","undirected"
"2333","Joe Budden","Stacy Barthe","1","undirected"
"2334","Daveed Diggs","Phillipa Soo","1","undirected"
"2335","Big K.R.I.T.","theMIND","1","undirected"
"2336","Original Broadway Cast of Hamilton","Jasmine Cephas-Jones","2","undirected"
"2337","Queen D","Mak Digg","1","undirected"
"2338","Tyler, The Creator","Juicy J","1","undirected"
"2339","O.C.","Apathy","2","undirected"
"2340","Kosha Dillz","Flex Mathews","1","undirected"
"2341","Young Buck","Sheek Louch","1","undirected"
"2342","CeeLo Green","Rick Ross","1","undirected"
"2343","Logic","Big Lenbo","1","undirected"
"2344","Skeme","Mitch E-Slick","1","undirected"
"2345","YFN Lucci","Young Scooter","1","undirected"
"2346","Syd","Isaiah Rashad","1","undirected"
"2347","Cau2g$","Bynoe","1","undirected"
"2348","DJ Luian","Nicky Jam","1","undirected"
"2349","Jeezy","Jadakiss","1","undirected"
"2350","Jonathan McReynolds","Bizzle","1","undirected"
"2351","Trouble","Ralo","1","undirected"
"2352","Yo Gotti","DJ Khaled","1","undirected"
"2353","Pouya","$uicideBoy$","2","undirected"
"2354","Mistah F.A.B.","Idaho Jdoe","1","undirected"
"2355","Franky Bells","Sevin","1","undirected"
"2356","Lex the Hex Master","The R.O.C.","1","undirected"
"2357","Chayse","Jadakiss","1","undirected"
"2358","YG","AD","1","undirected"
"2359","ScHoolboy Q","Jadakiss","1","undirected"
"2360","ScHoolboy Q","Traffic","1","undirected"
"2361","Futuristic","Devvon Terrell","13","undirected"
"2362","Wiz Khalifa","Curren$y","2","undirected"
"2363","Pimp C","Slim Thug","1","undirected"
"2364","G-Eazy","Carl Thomas","1","undirected"
"2365","Iamsu!","Rich Homie Quan","1","undirected"
"2366","French Montana","DJ Khaled","1","undirected"
"2367","Noah Gordon","Lenny Cooper","1","undirected"
"2368","Trey Songz","Jamie Foxx","1","undirected"
"2369","Kent Jones","DJ Khaled","1","undirected"
"2370","J. Stalin","Mistah F.A.B.","1","undirected"
"2371","Mistah F.A.B.","Atmosphere","1","undirected"
"2372","Rod Stewart","Miguel","1","undirected"
"2373","NF","Britt Nicole","1","undirected"
"2374","Berner","Project Pat","1","undirected"
"2375","YG","TeeCee4800","1","undirected"
"2376","Cosculluela","Randy Nota Loca","1","undirected"
"2377","E-40","The Game","2","undirected"
"2378","Young Mezzy","Mozzy","1","undirected"
"2379","Jackie Hill Perry","Lecrae","1","undirected"
"2380","Meek Mill","The Weeknd","1","undirected"
"2381","A$Ap Ant","Playboi Carti","1","undirected"
"2382","Rittz","Darrein Safron","1","undirected"
"2383","Eric Nally","Grandmaster Caz","1","undirected"
"2384","Macklemore & Ryan Lewis","Mike Slap","1","undirected"
"2385","Cozz","Correy C","1","undirected"
"2386","Nengo Flow","Arcangel","2","undirected"
"2387","Snow Tha Product","W. Darling","1","undirected"
"2388","Blaze Ya Dead Homie","Boondox","2","undirected"
"2389","A$AP Ferg","A$AP Mob","2","undirected"
"2390","Skyzoo","Stalley","1","undirected"
"2391","Dj Tank","7deucedeuce","2","undirected"
"2392","Philthy Rich","Mozzy","3","undirected"
"2393","E-40","Rick Rock","1","undirected"
"2394","Wiz Khalifa","JP Cali","1","undirected"
"2395","Snoop Dogg","Jazze Pha","1","undirected"
"2396","Lil Duval","Trae Tha Truth","1","undirected"
"2397","ScHoolboy Q","Tha Dogg Pound","1","undirected"
"2398","Lenny Cooper","Dustin Rhodes","1","undirected"
"2399","Murs","Bernz","2","undirected"
"2400","Young L.O.R.D.","Skepta","1","undirected"
"2401","B-Legit","Demrick","1","undirected"
"2402","A$AP Mob","Lil Yachty","1","undirected"
"2403","B-Real","Quez","1","undirected"
"2404","Lookas","Noodles","1","undirected"
"2405","T.I.","B.o.B","2","undirected"
"2406","Slim Thug","Boosie Badazz","2","undirected"
"2407","Germ","S Dot Braddy","1","undirected"
"2408","Big Scoob","Tech N9ne Collabos","2","undirected"
"2409","Jhene Aiko","Donald Glover","1","undirected"
"2410","Apathy","Blacastan","1","undirected"
"2411","A$AP Rocky","M.I.A.","1","undirected"
"2412","DJ Drama","Trey Songz","1","undirected"
"2413","Twiztid","Katz","1","undirected"
"2414","Webbie","Wankaego","2","undirected"
"2415","Drake","Travis Scott","1","undirected"
"2416","Zion & Lennox","DJ Luian","1","undirected"
"2417","Fabolous","Dave East","1","undirected"
"2418","Jeezy","DJ Khaled","1","undirected"
"2419","Mista Cain","Chad Cain","1","undirected"
"2420","Micah","DJ Quick","1","undirected"
"2421","B-Real","Berner","15","undirected"
"2422","Kendrick Lamar","Ty Dolla $ign","1","undirected"
"2423","Apathy","Twista","1","undirected"
"2424","A$AP Rocky","Future","1","undirected"
"2425","Christopher Jackson","Leslie Odom Jr.","5","undirected"
"2426","G-Eazy","J. Doe","1","undirected"
"2427","Mac Miller","Little Dragon","1","undirected"
"2428","Daveed Diggs","Okieriete Onaodowan","12","undirected"
"2429","B.o.B","Tech N9ne","1","undirected"
"2430","Royce Da 5'9""","Smoke Dza","1","undirected"
"2431","Mozart La Para","Arcangel","1","undirected"
"2432","Fred B","T Bone","1","undirected"
"2433","B.o.B","Mistah F.A.B.","1","undirected"
"2434","Sevin","Bumps Inf","2","undirected"
"2435","Mr. Fish","Michael Bolton","1","undirected"
"2436","Riz MC","K'NAAN","1","undirected"
"2437","Lecrae","KB","1","undirected"
"2438","Sleepy D","Noni Blanco","1","undirected"
"2439","Blacastan","Marvalyss","1","undirected"
"2440","Phillipa Soo","Renee Elise Goldsberry","4","undirected"
"2441","AD","Skeme","1","undirected"
"2442","Jon Conner","JT","2","undirected"
"2443","DJ Snake","Dillon Francis","1","undirected"
"2444","Philthy Rich","Jim Jones","1","undirected"
"2445","Tyler, The Creator","Yung Gleesh","1","undirected"
"2446","Pete Rock","Jadakiss","1","undirected"
"2447","Lenny Cooper","Moonshine Bandits","1","undirected"
"2448","A$AP Rocky","ScHoolboy Q","1","undirected"
"2449","Joe Budden","Joell Ortiz","1","undirected"
"2450","Mac Miller","Chief Keef","1","undirected"
"2451","CZARFACE","Blacastan","1","undirected"
"2452","Peewee Longway","Young Dolph","1","undirected"
"2453","The Game","Lil Wayne","2","undirected"
"2454","Tone ..C","The Jacka","1","undirected"
"2455","Mouton","G Mo Skee","1","undirected"
"2456","Conway","Apollo Brown","1","undirected"
"2457","Lil Goofy","June","1","undirected"
"2458","Detail","K-Ci & JoJo","1","undirected"
"2459","Meek Mill","Nicki Minaj","3","undirected"
"2460","No Fatigue","Talley Of 300","2","undirected"
"2461","Sasha Hutchings","Anthony Ramos","1","undirected"
"2462","Riff Raff","Problem","1","undirected"
"2463","Estelle","De La Soul","1","undirected"
"2464","Eamon","Vinnie Paz","2","undirected"
"2465","Pusha T","Diddy","2","undirected"
"2466","Jeremiah Bligen","Eshon Burgundy","2","undirected"
"2467","Bernz","Jarren Benton","1","undirected"
"2468","Jay Warren","HG Free","1","undirected"
"2469","Juicy J","Nas","1","undirected"
"2470","Bobby V.","Too $hort","1","undirected"
"2471","NF","Jonathan Thulin","1","undirected"
"2472","AD","Jay 305","2","undirected"
"2473","Sarah Juers","Ruslan","1","undirected"
"2474","Kevin Gates","Montana of 300","1","undirected"
"2475","Wiley","Skepta","1","undirected"
"2476","Mr. Porter","Tiara","1","undirected"
"2477","Kilo Kish","Vince Staples","1","undirected"
"2478","Godemis","Tech N9ne Collabos","1","undirected"
"2479","Oh No","Kappa Gamma","1","undirected"
"2480","RJ","Jay 305","2","undirected"
"2481","Skizzy Mars","PJ","1","undirected"
"2482","Kamaiyah","E-40","1","undirected"
"2483","Original Broadway Cast of Hamilton","Jonathan Groff","1","undirected"
"2484","Kid Ink","Starrah","1","undirected"
"2485","Young Thug","Dora","1","undirected"
"2486","Lil Durk","Trouble","1","undirected"
"2487","A$AP Rocky","Madeintyo","1","undirected"
"2488","Ephraim Sykes","Anthony Ramos","1","undirected"
"2489","Wiz Khalifa","Rick Ross","1","undirected"
"2490","No Shame","MO3","2","undirected"
"2491","Mistah F.A.B.","Jadakiss","1","undirected"
"2492","Sevin","Bizzle","5","undirected"
"2493","A$AP Ferg","Skrillex","1","undirected"
"2494","White Dave","Clif Soulo","1","undirected"
"2495","Yo Gotti","Trae Tha Truth","1","undirected"
"2496","Z-Ro","Boosie Badazz","1","undirected"
"2497","DJ Drama","Rich Homie Quan","2","undirected"
"2498","Husalah","E-40","1","undirected"
"2499","Lupe Fiasco","Fashawn","1","undirected"
"2500","Danny Boone","Demun Jones","1","undirected"
"2501","Stevie Stone","Darrein Safron","1","undirected"
"2502","E-40","Istevie","1","undirected"
"2503","YG","Drake","1","undirected"
"2504","Kendrick Lamar","The Game","2","undirected"
"2505","Wiz Khalifa","Domo Genesis","1","undirected"
"2506","Marissa","YFN Lucci","1","undirected"
"2507","J Rosevelt","Moonshine Bandits","1","undirected"
"2508","Twiztid","Blaze Ya Dead Homie","2","undirected"
"2509","Philthy Rich","Ezale","1","undirected"
"2510","Regina Spektor","Ben Folds","1","undirected"
"2511","J-Real","Savage","2","undirected"
"2512","Young Dolph","Wale","1","undirected"
"2513","Pete Rock","Estelle","1","undirected"
"2514","Silke","Keyshia Cole","1","undirected"
"2515","Aloe Blacc","Lin-Manuel Miranda","1","undirected"
"2516","J-Real","Talley Of 300","2","undirected"
"2517","2 Chainz","Madeintyo","1","undirected"
"2518","T.I.","London Jae","3","undirected"
"2519","Tech N9ne Collabos","Rittz","3","undirected"
"2520","DJ Luian","Alexio","2","undirected"
"2521","Drake","Future","11","undirected"
"2522","DJ Quik","Shy Carter","1","undirected"
"2523","Nas","The Game","2","undirected"
"2524","A$AP Rocky","Mark Ronson","1","undirected"
"2525","Sarah Ross","Young Gunner","1","undirected"
"2526","Adoni","Lil Keke","1","undirected"
"2527","Young Thug","Rich Homie Quan","1","undirected"
"2528","Quavo","Offset","1","undirected"
"2529","Kung Fu Vampire","Blaze Ya Dead Homie","1","undirected"
"2530","Young Chu","E-40","1","undirected"
"2531","Big Sean","Diddy","1","undirected"
"2532","Derek Minor","Camille Faulkner","1","undirected"
"2533","Pete Rock","De La Soul","1","undirected"
"2534","Datin","Selah the Corner","2","undirected"
"2535","Kobe Honeycutt","KXNG Crooked","1","undirected"
"2536","Beleaf","Selah the Corner","1","undirected"
"2537","Yella","2Meka","1","undirected"
"2538","Offset","Solo Lucci","1","undirected"
"2539","John Givez","Gracy","1","undirected"
"2540","Thayne Jasperson","Original Broadway Cast of Hamilton","1","undirected"
"2541","Turf Talk","E-40","1","undirected"
"2542","Westside Gunn","Apollo Brown","1","undirected"
"2543","Hopsin","G Mo Skee","1","undirected"
"2544","Kendrick Lamar","Mistah F.A.B.","1","undirected"
"2545","Cuttyboy G Dinero","C-Murder","1","undirected"
"2546","A$AP Rocky","Buddy","1","undirected"
"2547","Prozak","Tyler Lyon","1","undirected"
"2548","Philthy Rich","Zoey Dollaz","1","undirected"
"2549","Grieves","Adam Vida","1","undirected"
"2550","G-Eazy","Iamnobodi","1","undirected"
"2551","Anna Wise","Kendrick Lamar","2","undirected"
"2552","The Game","Deion","2","undirected"
"2553","Babyface","Ty Dolla $ign","1","undirected"
"2554","Wrekonize","Rittz","1","undirected"
"2555","Akon","The Lonely Island","1","undirected"
"2556","Joe Moses","Mitch E-Slick","2","undirected"
"2557","Tech N9ne","Darrein Safron","1","undirected"
"2558","Chris Brown","Jeremih","1","undirected"
"2559","Future","Yo Gotti","2","undirected"
"2560","T.I.","Big K.R.I.T.","1","undirected"
"2561","Redneck Souljers","Demun Jones","1","undirected"
"2562","VS","C-Murder","2","undirected"
"2563","Jessica Care Moore","Jeezy","1","undirected"
"2564","Grieves","Watsky","1","undirected"
"2565","Pusho","Alexio","1","undirected"
"2566","Skam2?","Rite Hook","1","undirected"
"2567","A$AP Ferg","Tatiana Paulino","1","undirected"
"2568","Vinnie Paz","Demoz","2","undirected"
"2569","Philthy Rich","Nef The Pharaoh","1","undirected"
"2570","ASAP Nast","D Double E","1","undirected"
"2571","BadBadNotGood","Mick Jenkins","1","undirected"
"2572","Lil Dicky","Hannibal Buress","1","undirected"
"2573","YG","Marley Blu","1","undirected"
"2574","Termanology","STATIK KXNG","1","undirected"
"2575","Cozmo","Berner","1","undirected"
"2576","Jamesthemormon","Junior Maile","2","undirected"
"2577","Lil Yachty","Madeintyo","1","undirected"
"2578","Dr. Dre","Eazy-E","1","undirected"
"2579","Pimp C","Adoni","1","undirected"
"2580","Diddy","Pharrell Williams","1","undirected"
"2581","Ephraim Sykes","Lin-Manuel Miranda","1","undirected"
"2582","Tech N9ne Collabos","Tyler Lyon","2","undirected"
"2583","Kendrick Lamar","Thundercat","2","undirected"
"2584","Danny Brown","Petite Noir","1","undirected"
"2585","Nate Ruess","The Roots","1","undirected"
"2586","Migos","Trouble","1","undirected"
"2587","Jeremih","Nicki Minaj","2","undirected"
"2588","Philthy Rich","E-40","1","undirected"
"2589","Jeezy","Janelle Monáe","1","undirected"
"2590","G-Eazy","Keyshia Cole","1","undirected"
"2591","Syd","Common","2","undirected"
"2592","Dr. Dre","Ice Cub","1","undirected"
"2593","Jay Rock","The Game","2","undirected"
"2594","Legendvry","White Dave","1","undirected"
"2595","Wrekonize","JL B.Hood","1","undirected"
"2596","Young Dolph","Berner","1","undirected"
"2597","A$AP Ferg","Rick Ross","1","undirected"
"2598","Rich Homie Quan","Lil Dicky","1","undirected"
"2599","ScHoolboy Q","Miguel","1","undirected"
"2600","DJ Drama","Lil Uzi Vert","2","undirected"
"2601","YG","Burnt Out","1","undirected"
"2602","Prodigy","The Alchemist","1","undirected"
"2603","A$AP Nast","Yung Lord","1","undirected"
"2604","Strap","Quez","1","undirected"
"2605","Offset","Young Thug","2","undirected"
"2606","De La Ghetto","Cosculluela","2","undirected"
"2607","Lex Aura","Mozzy","2","undirected"
"2608","E MOZZY","Leezy Lyfe","1","undirected"
"2609","Travis Scott","Justin Bieber","1","undirected"
"2610","G-Eazy","E-40","2","undirected"
"2611","Kendrick Lamar","Danny Brown","1","undirected"
"2612","JAY Z","DJ Khaled","1","undirected"
"2613","JP Cali","Problem","1","undirected"
"2614","A$AP Rocky","Skepta","1","undirected"
"2615","Ariana DeBose","Anthony Ramos","1","undirected"
"2616","Nipsey Hussle","DJ Mustard","2","undirected"
"2617","Mark Ronson","Rod Stewart","1","undirected"
"2618","I4NI","Redneck Souljers","1","undirected"
"2619","Wiz Khalifa","Iggy Azalea","1","undirected"
"2620","Strap","Berner","1","undirected"
"2621","K CAMP","Slim Jxmmi","1","undirected"
"2622","Josh X","Cardi B","1","undirected"
"2623","Chris Durso","Social Club Misfits","1","undirected"
"2624","PJ","Rome Fortune","1","undirected"
"2625","Baby Treeze","E-40","1","undirected"
"2626","B-Real","Dizzy Wright","1","undirected"
"2627","DJ Mustard","Rick Ross","1","undirected"
"2628","YG","RJmrLA","1","undirected"
"2629","Jamie Foxx","Dame D.O.L.L.A","1","undirected"
"2630","Jay 305","Skeme","1","undirected"
"2631","O.C.","Ras Kass","1","undirected"
"2632","Vinnie Paz","Ransom","1","undirected"
"2633","Mvrcus Blvck","The Game","4","undirected"
"2634","Don Chief","T Bone","1","undirected"
"2635","John Givez","Ruslan","12","undirected"
"2636","Arcangel","Randy Nota Loca","2","undirected"
"2637","Sadie Vada","La Coka Nostra","1","undirected"
"2638","Peezy","Mozzy","1","undirected"
"2639","Yo Gotti","E-40","1","undirected"
"2640","Buddy","Wiz Khalifa","2","undirected"
"2641","2Meka","Boosie Badazz","1","undirected"
"2642","YFN Lucci","Plies","1","undirected"
"2643","Krizz Kaliko","Bernz","1","undirected"
"2644","Kid Ink","Wale","1","undirected"
"2645","Rafael Casal","Adam Vida","1","undirected"
"2646","Keak Da Sneak","E-40","1","undirected"
"2647","21 Savage","YG","1","undirected"
"2648","Dave East","Aloe Blacc","1","undirected"
"2649","Jeezy","Chris Brown","1","undirected"
"2650","Danny Brown","Riff Raff","1","undirected"
"2651","Cartel De Santa","Santa Estilo","1","undirected"
"2652","J. Period","Stro Elliot","1","undirected"
"2653","YG","Yo Gotti","1","undirected"
"2654","James Fauntleroy","Ronald Isley","1","undirected"
"2655","Big Sean","Kendrick Lamar","1","undirected"
"2656","DJ Mustard","Jeremih","1","undirected"
"2657","Apathy","La Coka Nostra","1","undirected"
"2658","Problem","Ty Dolla $ign","2","undirected"
"2659","Pouya","Germ","1","undirected"
"2660","Tasha Cobbs","Common","1","undirected"
"2661","Mac Miller","Ty Dolla $ign","2","undirected"
"2662","Big Sean","Gucci Mane","1","undirected"
"2663","Snoop Dogg","Lil Dicky","1","undirected"
"2664","Lil Uzi Vert","Mac Miller","1","undirected"
"2665","Don Chief","marcus wells","2","undirected"
"2666","Scheme","The Game","1","undirected"
"2667","A$AP Rocky","The-Dream","1","undirected"
"2668","AV","The Game","1","undirected"
"2669","Liz Rodrigues","Trae Tha Truth","1","undirected"
"2670","Lex the Hex Master","Blaze Ya Dead Homie","2","undirected"
"2671","Wiz Khalifa","Chevy Woods","2","undirected"
"2672","Logic","Pusha T","1","undirected"
"2673","James Fauntleroy","DJ Mustard","1","undirected"
"2674","A$AP Rocky","Rod Stewart","1","undirected"
"2675","Nas","Rick Ross","2","undirected"
"2676","DJ Quik","The Game","2","undirected"
"2677","London Jae","Lady G","1","undirected"
"2678","Nicky Jam","Arcangel","1","undirected"
"2679","J3","Payso","1","undirected"
"2680","Lil Uzi Vert","Rich Homie Quan","1","undirected"
"2681","Charlie Heat","Future","1","undirected"
"2682","Drake","DJ Khaled","1","undirected"
"2683","Corey Crowder","Big Smo","1","undirected"
"2684","Og Dre","Boosie Badazz","1","undirected"
"2685","Vinnie Paz","La Coka Nostra","1","undirected"
"2686","Smoke Dza","Dave East","1","undirected"
"2687","Wiz Khalifa","Ty Dolla $ign","6","undirected"
"2688","YFN Lucci","Johnny Cinco","1","undirected"
"2689","Aesop Rock","Atmosphere","1","undirected"
"2690","Krizz Kaliko","JL B.Hood","1","undirected"
"2691","Berner","Smiggz","1","undirected"
"2692","Young Gunner","Moonshine Bandits","1","undirected"
"2693","Post Malone","1st FKI","1","undirected"
"2694","Yams","Acyde","1","undirected"
"2695","Slim Thug","Bun B","1","undirected"
"2696","Philthy Rich","Charlie Rock","1","undirected"
"2697","Young Adz","Jadakiss","1","undirected"
"2698","Ruslan","Gracy","1","undirected"
"2699","A$AP Ferg","Ty Dolla $ign","1","undirected"
"2700","Mobb Deep","Ghostface Killah","1","undirected"
"2701","Fat Joe","Jadakiss","1","undirected"
"2702","Robin Thicke","Flo Rida","1","undirected"
"2703","Pete Rock","NymLo","1","undirected"
"2704","Original Broadway Cast of Hamilton","Renee Elise Goldsberry","4","undirected"
"2705","London Jae","Rara","1","undirected"
"2706","Kevin Gates","Sage The Gemini","1","undirected"
"2707","Isaiah Rashad","Hugh Augustine","1","undirected"
"2708","A$Ap Ant","A$AP Rocky","1","undirected"
"2709","Murs","Wrekonize","1","undirected"
"2710","Kendrick Lamar","Betty Wright","1","undirected"
"2711","Datin","Bizzle","3","undirected"
"2712","Skeme","Joe Moses","1","undirected"
"2713","Juicy J","Domo Genesis","1","undirected"
"2714","Mistah F.A.B.","CMT","1","undirected"
"2715","Syke 800","Duce","1","undirected"
"2716","Iamsu!","Lil Goofy","1","undirected"
"2717","Kid Ink","Rich Homie Quan","1","undirected"
"2718","Dolly","Dora","1","undirected"
"2719","Rich The Kid","DJ Mustard","1","undirected"
"2720","Wale","Dreezy","1","undirected"
"2721","Rafael Casal","Watsky","1","undirected"
"2722","Raekwon","Ghostface Killah","1","undirected"
"2723","Starlito","Chrizz Michaels","1","undirected"
"2724","Kid Ink","BIA","1","undirected"
"2725","Migos","Ty Dolla $ign","1","undirected"
"2726","Pusha T","Kanye West","1","undirected"
"2727","Jon Rua","Original Broadway Cast of Hamilton","1","undirected"
"2728","Gucci Mane","Rae Sremmurd","2","undirected"
"2729","A Boogie Wit da Hoodie","DJ SpinKing","1","undirected"
"2730","Migos","YFN Lucci","1","undirected"
"2731","DJ Khaled","Nas","1","undirected"
"2732","YG","Rick Ross","1","undirected"
"2733","Drake","The Game","2","undirected"
"2734","Mistah F.A.B.","Tech N9ne","1","undirected"
"2735","Akon","Jadakiss","1","undirected"
"2736","John Givez","Murs","1","undirected"
"2737","Iamsu!","June","1","undirected"
"2738","Cheeto Gambine","Rittz","1","undirected"
"2739","Bilal","Snoop Dogg","1","undirected"
"2740","Meek Mill","Tracy T","1","undirected"
"2741","Tech N9ne Collabos","Darrein Safron","3","undirected"
"2742","Jeezy","Plies","1","undirected"
"2743","KSI","Randolph","1","undirected"
"2744","Exodus","Jadakiss","1","undirected"
"2745","Mac Milli","Boosie Badazz","1","undirected"
"2746","T.I.","Translee","3","undirected"
"2747","William Michael Morgan","Big Smo","1","undirected"
"2748","Drake","WizKid","1","undirected"
"2749","Pimp C","Lil Wayne","1","undirected"
"2750","YG","The Game","2","undirected"
"2751","Busta Rhymes","Joell Ortiz","1","undirected"
"2752","Diddy","Ty Dolla $ign","2","undirected"
"2753","Haitian V","Cardi B","1","undirected"
"2754","Jamesthemormon","HG Free","3","undirected"
"2755","Lil Wayne","Jadakiss","1","undirected"
"2756","Jay 305","The Game","2","undirected"
"2757","Charlie Heat","Ty Dolla $ign","1","undirected"
"2758","Th3 Saga","Eshon Burgundy","1","undirected"
"2759","Kendra Foster","Domo Genesis","1","undirected"
"2760","Logic","Dria","1","undirected"
"2761","J Balvin","Arcangel","1","undirected"
"2762","Pimp C","Bun B","2","undirected"
"2763","Da' T.R.U.T.H.","Natalie Sims","2","undirected"
"2764","Dej Loaf","ShaSha","1","undirected"
"2765","SmooVth","Hus KingPin","1","undirected"
"2766","Fat Joe","DJ Khaled","1","undirected"
"2767","Philthy Rich","HoodRich Pablo Juan","1","undirected"
"2768","DJ Drama","1st FKI","1","undirected"
"2769","I4NI","Moonshine Bandits","1","undirected"
"2770","Q-Unique","La Coka Nostra","1","undirected"
"2771","Reezy","Dizzy Wright","1","undirected"
"2772","Curren$y","K CAMP","1","undirected"
"2773","Meek Mill","Diddy","1","undirected"
"2774","Chris Brown","Flo Rida","1","undirected"
"2775","Original Broadway Cast of Hamilton","Anthony Ramos","7","undirected"
"2776","G-Eazy","Riff Raff","1","undirected"
"2777","Apathy","Marvalyss","1","undirected"
"2778","Chris Brown","Future","1","undirected"
"2779","Skeme","Ty Dolla $ign","1","undirected"
"2780","Quavo","Young Thug","3","undirected"
"2781","Eric Bellinger","ShaSha","1","undirected"
"2782","The Game","Joe Moses","2","undirected"
"2783","Berner","Hollywood","1","undirected"
"2784","Lil Snupe","French Montana","1","undirected"
