"","source","target","weight","type"
"200","Jasmine Cephas-Jones","Original Broadway Cast of Hamilton","2","undirected"
"201","Mak Digg","Queen D","1","undirected"
"202","Juicy J","Tyler, The Creator","1","undirected"
"203","Apathy","O.C.","2","undirected"
"204","Flex Mathews","Kosha Dillz","1","undirected"
"205","Sheek Louch","Young Buck","1","undirected"
"206","Rick Ross","CeeLo Green","1","undirected"
"207","Big Lenbo","Logic","1","undirected"
"208","Mitch E-Slick","Skeme","1","undirected"
"209","Young Scooter","YFN Lucci","1","undirected"
"210","Isaiah Rashad","Syd","1","undirected"
"211","Bynoe","Cau2g$","1","undirected"
"212","Nicky Jam","DJ Luian","1","undirected"
"213","Jadakiss","Jeezy","1","undirected"
"214","Bizzle","Jonathan McReynolds","1","undirected"
"215","Ralo","Trouble","1","undirected"
"216","DJ Khaled","Yo Gotti","1","undirected"
"217","$uicideBoy$","Pouya","2","undirected"
"218","Idaho Jdoe","Mistah F.A.B.","1","undirected"
"219","Sevin","Franky Bells","1","undirected"
"220","The R.O.C.","Lex the Hex Master","1","undirected"
"221","Jadakiss","Chayse","1","undirected"
"222","AD","YG","1","undirected"
"223","Jadakiss","ScHoolboy Q","1","undirected"
"224","Traffic","ScHoolboy Q","1","undirected"
"225","Devvon Terrell","Futuristic","13","undirected"
"226","Curren$y","Wiz Khalifa","2","undirected"
"227","Slim Thug","Pimp C","1","undirected"
"228","Carl Thomas","G-Eazy","1","undirected"
"229","Rich Homie Quan","Iamsu!","1","undirected"
"230","DJ Khaled","French Montana","1","undirected"
"231","Lenny Cooper","Noah Gordon","1","undirected"
"232","Jamie Foxx","Trey Songz","1","undirected"
"233","DJ Khaled","Kent Jones","1","undirected"
"234","Mistah F.A.B.","J. Stalin","1","undirected"
"235","Atmosphere","Mistah F.A.B.","1","undirected"
"236","Miguel","Rod Stewart","1","undirected"
"237","Britt Nicole","NF","1","undirected"
"238","Project Pat","Berner","1","undirected"
"239","TeeCee4800","YG","1","undirected"
"240","Randy Nota Loca","Cosculluela","1","undirected"
"241","The Game","E-40","2","undirected"
"242","Mozzy","Young Mezzy","1","undirected"
"243","Lecrae","Jackie Hill Perry","1","undirected"
"244","The Weeknd","Meek Mill","1","undirected"
"245","Playboi Carti","A$Ap Ant","1","undirected"
"246","Darrein Safron","Rittz","1","undirected"
"247","Grandmaster Caz","Eric Nally","1","undirected"
"248","Mike Slap","Macklemore & Ryan Lewis","1","undirected"
"249","Correy C","Cozz","1","undirected"
"250","Arcangel","Nengo Flow","2","undirected"
"251","W. Darling","Snow Tha Product","1","undirected"
"252","Boondox","Blaze Ya Dead Homie","2","undirected"
"253","A$AP Mob","A$AP Ferg","2","undirected"
"254","Stalley","Skyzoo","1","undirected"
"255","7deucedeuce","Dj Tank","2","undirected"
"256","Mozzy","Philthy Rich","3","undirected"
"257","Rick Rock","E-40","1","undirected"
"258","JP Cali","Wiz Khalifa","1","undirected"
"259","Jazze Pha","Snoop Dogg","1","undirected"
"260","Trae Tha Truth","Lil Duval","1","undirected"
"261","Tha Dogg Pound","ScHoolboy Q","1","undirected"
"262","Dustin Rhodes","Lenny Cooper","1","undirected"
"263","Bernz","Murs","2","undirected"
"264","Skepta","Young L.O.R.D.","1","undirected"
"265","Demrick","B-Legit","1","undirected"
"266","Lil Yachty","A$AP Mob","1","undirected"
"267","Quez","B-Real","1","undirected"
"268","Noodles","Lookas","1","undirected"
"269","B.o.B","T.I.","2","undirected"
"270","Boosie Badazz","Slim Thug","2","undirected"
"271","S Dot Braddy","Germ","1","undirected"
"272","Tech N9ne Collabos","Big Scoob","2","undirected"
"273","Donald Glover","Jhene Aiko","1","undirected"
"274","Blacastan","Apathy","1","undirected"
"275","M.I.A.","A$AP Rocky","1","undirected"
"276","Trey Songz","DJ Drama","1","undirected"
"277","Katz","Twiztid","1","undirected"
"278","Wankaego","Webbie","2","undirected"
"279","Travis Scott","Drake","1","undirected"
"280","DJ Luian","Zion & Lennox","1","undirected"
"281","Dave East","Fabolous","1","undirected"
"282","DJ Khaled","Jeezy","1","undirected"
"283","Chad Cain","Mista Cain","1","undirected"
"284","DJ Quick","Micah","1","undirected"
"285","Berner","B-Real","15","undirected"
"286","Ty Dolla $ign","Kendrick Lamar","1","undirected"
